species	DNA	DNA.Academ-1	DNA.CMC-Chapaev	DNA.CMC-Chapaev-3	DNA.CMC-EnSpm	DNA.CMC-Transib	DNA.Crypton-I	DNA.Ginger-2	DNA.IS3EU	DNA.Kolobok-E	DNA.MULE-MuDR	DNA.MULE-NOF	DNA.Maverick	DNA.Merlin	DNA.P	DNA.PIF-Harbinger	DNA.PIF-ISL2EU	DNA.PIF-Spy	DNA.PiggyBac	DNA.Sola-1	DNA.Sola-2	DNA.TcMar	DNA.TcMar-Fot1	DNA.TcMar-Mariner	DNA.TcMar-Pogo	DNA.TcMar-Tc1	DNA.TcMar-Tc2	DNA.TcMar-Tc4	DNA.TcMar-Tigger	DNA.TcMar-m44	DNA.Zator	DNA.Zisupton	DNA.hAT	DNA.hAT-Ac	DNA.hAT-Blackjack	DNA.hAT-Charlie	DNA.hAT-Tag1	DNA.hAT-Tip100	DNA.hAT-hAT19	DNA.hAT-hAT5	DNA.hAT-hATm	DNA.hAT-hATx	DNA.hAT-hobo	LINE	LINE.CR1	LINE.CR1-Zenon	LINE.CRE	LINE.Dong-R4	LINE.I	LINE.I-Jockey	LINE.L1	LINE.L1-Tx1	LINE.L2	LINE.Penelope	LINE.Proto2	LINE.R1	LINE.R1-LOA	LINE.R2	LINE.R2-Hero	LINE.RTE	LINE.RTE-BovB	LINE.RTE-RTE	LINE.RTE-X	LTR	LTR.Copia	LTR.DIRS	LTR.Gypsy	LTR.Pao	Low_complexity	PLE.Chlamys	PLE.Hydra	PLE.Naiad	RC.Helitron	SINE	SINE.5S	SINE.ID	SINE.U	SINE.tRNA	SINE.tRNA-Deu	SINE.tRNA-Deu-L2	Satellite	Simple_repeat	rRNA	snRNA	tRNA
C0001	0.220035446	0.071213648	0	0.002282818	0.409922476	0.045596874	0.008339448	0.001835707	0	0.022827561	0.005487014	0	0.372148291	0.045511888	0.481078706	0.89319777	0.000758659	0.027729204	0.153523205	0.041429223	0.006188255	0.000710155	0.228237672	2.725003835	0.005203242	0.763606534	0	0	0.032076571	0.412299816	0.0010074	0.000635118	0.018555024	0.118533673	0.048338826	0.142210683	0.00014116	0.316978629	2.01E-05	0	0.000254959	0.003440085	0	1.164343014	0.748029559	2.112170885	0.214481272	0.538847709	0.829166304	1.245558734	0.12850341	0.022622764	11.89770246	0.185417988	0.333982547	0.68717928	0.605812864	0	1.66E-05	0.567168916	1.047159173	1.721504052	0	0.139171486	0.609091474	0.129032399	3.720075451	1.124245383	0.077530419	0.001711958	0	2.59E-05	14.39076902	0.005803329	0.390512613	0.041204113	0.001071451	2.933364219	0	0	0.462161143	0.705755654	0.192100823	0.00091661	0.018873412
C0055	0.17676877	0.061619883	0	0.001285584	0.406478144	0.056341367	0.008180212	0.003220312	0	0.033969905	0.001144638	0	0.720493112	0.066104737	0.445962004	0.82690773	7.50E-05	0.027196173	0.206223052	0.066431294	0.004073332	0.0002273	0.812099496	2.42303748	0.004155914	1.871279628	0	9.33E-06	0.024737365	0.248265772	0.000763092	0.000651924	0.016410053	0.162128082	0.062936634	0.142052051	6.59E-05	0.497099496	2.04E-05	1.01E-05	0.000598523	0.003164926	0	1.012635685	0.549552547	1.787458411	0.173002541	0.367403422	0.910057768	0.880767658	0.039341922	0.013843451	10.28172291	0.071624052	0.239032437	0.650348394	0.356099178	6.75E-06	0	0.397533251	1.186226625	1.439329615	7.15E-06	0.115476833	0.75331282	0.142091952	4.034424902	1.289191448	0.085208242	0.007260095	1.25E-05	1.81E-05	13.21902628	0.00274328	0.329640291	0.023472228	0.000852821	3.14041847	0	0	0.624346091	0.861254814	0.200507008	0.000574503	0.018392822
C0080	0.199142619	0.059479482	0	0.002162943	0.394063882	0.043008106	0.024767667	0.002017493	0	0.03060934	0.005431503	0	0.404243464	0.072930533	0.460180746	0.742375107	0.000279071	0.017120666	0.200693701	0.060524979	0.002971647	0.000287992	0.53466178	2.345723955	0.004315996	0.393258281	0	0	0.022691607	1.203459002	0.00097122	0.000297107	0.013039912	0.162340974	0.083356218	0.10781553	4.36E-05	0.40854957	0	9.89E-06	0.000455357	0.003407998	0	1.010661314	0.537978241	1.655061089	0.16108312	0.321148476	0.645382437	0.852546156	0.04315026	0.00870491	10.1685325	0.226586572	0.226455861	0.641862346	0.372055892	2.44E-05	1.78E-05	0.391461873	1.361648631	1.372901443	0	0.103298619	0.853075014	0.149863277	4.422673571	1.224778334	0.082278916	0.007976107	0	2.40E-05	15.55836999	0.002200954	0.274752153	0.021752579	0.000712513	2.899700178	0	0	0.853665542	0.742029711	0.250280816	0.000559111	0.015029284
C0100	0.160147664	0.070405387	2.36E-05	0.001850131	0.409455218	0.035931366	0.017295978	0.002229923	0	0.019573547	0.001205922	0	0.22567384	0.102143884	0.932244689	0.727971097	8.31E-05	0.017011085	0.2354551	0.05725286	0.001555	0.000502058	0.628738162	2.38793428	0.012628812	0.418298124	0	0	0.024556516	1.134760883	0.001067709	0.002405741	0.013579965	0.163740623	0.069150834	0.121602449	4.57E-05	0.25099998	0	9.25E-06	0.000239019	0.001996417	0	1.099848595	0.542249217	2.212028509	0.206293635	0.463627021	0.676035124	1.085630131	0.048829517	0.031710342	10.58454884	0.149480617	0.208974818	0.860158099	0.414616763	6.69E-06	1.81E-05	0.507221555	1.133820756	1.530391408	0	0.128918509	0.774100727	0.188581835	5.108146719	1.254968597	0.086080408	0.00283436	0	4.80E-05	14.80460948	0.002277766	0.273379733	0.024353133	0.000664882	3.88578193	0	0	0.600725522	0.910217165	0.209745821	0.000625308	0.026784864
Eaethiops	0.168056811	0.101374868	0	0.001043295	0.416294192	0.034832101	0.008272228	0.000843506	0	0.018832313	0.005877508	0	0.096659345	0.031736431	0.58003717	0.785844562	0.000242239	0.032673918	0.140709821	0.045013305	0.003490391	6.48E-05	0.224206336	1.893879198	0.003263569	0.273733685	0	0	0.03836283	0.122810137	0.000969377	0.003659557	0.007976558	0.110640972	0.036444562	0.227802534	1.01E-05	0.295315945	2.15E-05	0	4.71E-05	0.002714256	0	1.156377191	0.642157339	2.177533052	0.177689757	0.260670116	1.098455966	0.702992186	0.077581204	0.018623231	10.83626568	0.054848152	0.257218796	0.798374657	0.69790792	1.18E-05	0	0.399237381	0.790857867	1.645696938	0	0.161294403	0.65837698	0.1802566	3.836295882	1.318326716	0.078053221	0.011502429	0	1.92E-05	15.4142114	0.004759451	0.353027666	0.288107286	0.000892503	2.685873918	0	0	0.687352904	0.785663358	0.300198522	0.00085491	0.01929377
Ealbergana	0.152325552	0.095879846	0	0.002857785	0.415812808	0.041242664	0.02047976	0.001223388	0	0.023007068	0.006062754	0	0.775746413	0.015333476	0.440923538	0.736965089	0.000153994	0.017330263	0.143570786	0.049901906	0.006351467	0.000124866	0.289226601	1.995669737	0.004899122	0.184553009	0	0	0.027897623	0.056102592	0.001302206	0.001408225	0.017971514	0.140052688	0.048749411	0.082040908	3.38E-05	0.287397301	0	0	0.000538873	0.002055044	0	0.994253373	0.625278646	1.901555365	0.161715571	0.305409724	0.885917541	0.659601199	0.03070786	0.009587064	12.10490747	0.169363033	0.263355751	0.760783037	0.497735918	2.63E-05	2.59E-05	0.480707218	0.798574641	1.513527094	0	0.369939387	0.653367745	0.560427715	4.15666224	1.097666738	0.086222532	0.000979653	0	2.70E-05	13.74754616	0.002686443	0.334340972	0.026756051	0.000875776	2.597162776	0	0	0.545363247	0.692779182	0.232673806	0.000765903	0.020481474
Ebubastis	0.194515585	0.084648882	0	0.002872937	0.341572974	0.040117528	0.007905024	0.002096076	0	0.013473414	0.000936377	0	0.111309314	0.002607994	0.692008984	0.774830033	0.000329483	0.021127063	0.15476256	0.072113128	0.002663366	0.00019527	0.294712321	1.871422626	0.003480198	0.12987037	0	0	0.032289146	0.137060323	0.001184268	0.000354235	0.019041254	0.142925559	0.06139824	0.980926109	4.68E-05	0.286938944	0	0	0.000105427	0.001786395	0	1.492026036	0.521311881	2.057476348	0.314683168	0.34119637	0.952882472	0.529560323	0.033294463	0.011632563	10.608967	0.165259443	0.250545471	0.778459479	0.309993583	0	2.15E-05	0.376246975	0.729395306	1.777515585	7.15E-06	0.181654382	0.614159699	0.198104327	3.731632013	1.020693803	0.069754859	0.004623029	0	3.59E-05	15.79661863	0.003773194	0.267148332	0.022310048	0.000938027	2.596647598	0	0	1.082457462	0.744951045	0.30977026	0.000702237	0.022713421
Echristi	0.231977115	0.085247528	0	0.002463933	0.330989381	0.060669901	0.009777737	0.005413951	0	0.021810326	0.001832296	0	0.100411571	0.034108751	0.538069755	0.802405895	0.00019773	0.038336324	0.166361772	0.08348993	0.004506591	0.000546503	0.25333907	2.784382644	0.004081472	0.463228122	0	0	0.025469059	0.260476932	0.000825705	0.003365617	0.019235994	0.121830831	0.08154632	0.337989198	8.09E-05	0.419839436	1.08E-05	0	8.13E-05	0.008605273	0	1.247974918	0.532794764	1.843507323	0.174656719	0.322392164	0.723437935	1.030988649	0.043498352	0.007843098	12.03762376	0.18175833	0.263523252	0.866525449	0.4870119	5.31E-06	0	0.527558404	0.855091725	1.748978213	0	0.153948737	0.818939216	0.145350055	4.238372208	1.3591223	0.072848773	0.002632552	0	1.48E-05	16.26988429	0.00655639	0.307651959	0.018667521	0.001268583	2.622376053	0	1.32E-05	1.032517027	0.734559502	0.286983523	0.001000366	0.013709447
Edisa	0.199358562	0.243131507	0	0.030799144	0.979078425	0.039131336	0.024820206	0.003560959	0	0.021214897	0.001789726	0	0.160629452	0.122532021	0.48960137	0.868495034	0.000472774	0.020119178	0.152672089	0.08810411	0.00203613	0.000612843	0.121361473	2.482310445	0.007670548	0.479996233	0	0	0.015951712	0.905705308	0.003409075	0.001166096	0.007393322	0.101388699	0.080043322	0.107377055	8.66E-05	0.262896747	1.28E-05	0	0.000525514	0.007975514	2.84E-05	1.508817637	0.428453596	1.312859589	0.231201712	0.318351541	0.910598116	0.701060445	0.07480548	0.015498973	8.862874486	0.139944349	0.252804966	0.59985	0.494692123	4.78E-05	3.92E-05	0.473571918	1.096063527	1.288926199	4.97E-06	0.131194521	0.822894521	0.190397089	4.663862671	1.301849486	0.098829452	0.057304281	9.76E-06	1.68E-05	13.49610394	0.001256164	0.094760616	0.018429795	0.000787329	1.763324658	0	0	0.694820548	0.895595548	0.203660103	0.00068887	0.00600548
Eembla	0.212307437	0.19455888	0	0.013611199	0.952542257	0.041944007	0.028941382	0.002321435	0	0.019613998	0.001701837	0	0.239050919	0.150403325	0.51227769	0.885493788	0.000171304	0.021069641	0.152788801	0.077306562	0.002184252	0.00044357	0.115151006	2.535754856	0.010266667	0.29844147	0	0	0.016142607	0.495155031	0.003500088	0.001032371	0.008371479	0.103890464	0.073736833	0.116812948	9.99E-05	0.329820472	0	0	0.000288364	0.009349081	0	1.712207349	0.410458618	1.279246719	0.188109711	0.401798425	0.863952406	0.736743132	0.079693088	0.007460542	8.856831146	0.064367279	0.286785127	0.62327734	0.509984602	3.22E-05	2.05E-05	0.502169029	1.073240595	1.345312161	1.75E-05	0.132698688	0.899106037	0.221819598	4.5486042	1.905618548	0.10116378	0.059886964	0	0	12.89735433	0.00132266	0.093334383	0.019641295	0.000675941	1.710349606	0	3.67E-06	0.712661592	0.908493613	0.243048644	0.000591776	0.007988976
Eepiphron	0.202662018	0.054263852	0	0.001755636	0.326860527	0.068296141	0.007007642	0.002906381	0	0.017222774	0.002465036	0	0.090130684	0.04480512	0.597692396	0.86081219	0.000136225	0.041779328	0.150414597	0.074872373	0.005619603	0.001149981	0.280740543	2.488232327	0.003747994	0.260513374	0	0	0.025986053	0.115315247	0.000715132	0.000814482	0.011616928	0.113446504	0.052833206	0.216583875	7.15E-05	0.355330913	0	1.38E-05	7.93E-05	0.004065533	0	1.410041651	0.609072984	1.66859209	0.156513947	0.319609285	0.785510508	0.819483569	0.033981085	0.011586358	11.14083206	0.182267864	0.285732709	0.820397211	0.529624188	2.14E-05	6.44E-05	0.532949943	0.887921284	1.781117883	0	0.127324035	0.76026347	0.153331295	4.534991593	1.611302446	0.073868361	0.005876003	0	1.07E-05	15.45411196	0.007087887	0.303381926	0.017484906	0.00101624	2.91680512	0	0	0.964355942	0.871683798	0.351167176	0.000872946	0.018900268
Eeriphyle	0.210634091	0.077276198	1.09E-05	0.001368009	0.401371254	0.038345486	0.008431571	0.001008017	0	0.013750716	0.001927276	0	0.20415041	0.002945791	0.399096392	0.847851117	0.000167589	0.019914678	0.126828593	0.073627792	0.010841764	0.000172743	0.21759267	1.91203493	0.003099637	0.373051346	0	0	0.044567284	0.090123306	0.000957244	0.000302539	0.016416492	0.125174079	0.065146402	0.462680664	0.00013514	0.24958828	1.11E-05	1.07E-05	1.68E-05	0.002059172	1.39E-05	1.170372399	0.603781829	2.16493472	0.253303493	0.489228861	0.86907635	0.593760641	0.028300057	0.01289769	10.74045161	0.211048292	0.2845816	0.725817332	0.541194121	4.20E-05	0	0.41043787	0.785407521	2.089513266	0	0.15982344	0.577892537	0.106086085	3.740888338	1.001530254	0.088650124	0.003370872	0	2.62E-05	15.00387708	0.002819813	0.271540943	0.024386142	0.001167017	2.854427181	0	0	0.743745753	0.853891392	0.196075969	0.000775339	0.025495514
Eflavofasciata	0.178484788	0.066673822	7.10E-06	0.002047722	0.294710579	0.035303784	0.007178378	0.00182471	0	0.131759846	0.003367413	0	0.345382085	0.0319339	0.483679382	0.684026409	0.000235985	0.025822703	0.145902085	0.08144	0.007430888	0.000725097	0.226785019	2.13465668	0.003804788	0.674066255	0	0	0.020871351	0.148410656	0.0007339	0.000145946	0.016963861	0.093212973	0.056920463	0.632442471	0.000124479	0.278678765	0	0	8.12E-05	0.005202626	0	1.134721853	0.708207568	1.797422085	0.208007568	0.530208494	0.862494981	1.202314595	0.06949251	0.015715985	11.29144494	0.236790425	0.320966641	1.259544865	0.523519691	0	3.71E-05	0.555548726	0.830945328	1.697725869	1.44E-05	0.171713977	0.783335753	0.14063305	4.012517992	1.129355985	0.067607259	0.002882471	0	1.79E-05	14.71693467	0.002271351	0.279422394	0.016709807	0.000808494	2.450425792	0	0	1.132977297	0.74613668	0.28188417	0.00091027	0.022829189
